env,ext_ibi_cv,ext_ibi_mean_s,ext_mean_dur_s,ext_rate_per_min,short_ibi_cv,short_ibi_mean_s,short_mean_dur_s,short_rate_per_min,video
noisy,,,0.1,150.0,,,0.1,150.0,HUST-LEBW\Video (1).avi
noisy,0.4215855488510012,0.7111111111111111,0.2666666666666666,110.76923076923076,0.4215855488510012,0.7111111111111111,0.2666666666666666,110.76923076923076,HUST-LEBW\Video (10).avi
noisy,0.3,0.3333333333333333,0.1,257.1428571428571,0.3,0.3333333333333333,0.1,257.1428571428571,HUST-LEBW\Video (11).avi
noisy,,,0.6666666666666666,300.0,,,0.6666666666666666,300.0,HUST-LEBW\Video (12).avi
noisy,,,0.1666666666666666,450.0,,,0.1666666666666666,450.0,HUST-LEBW\Video (13).avi
noisy,0.0,0.4333333333333333,0.2833333333333333,257.1428571428571,0.0,0.4333333333333333,0.2833333333333333,257.1428571428571,HUST-LEBW\Video (14).avi
noisy,,,0.1666666666666666,120.0,,,0.1666666666666666,120.0,HUST-LEBW\Video (15).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (16).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (17).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (18).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (19).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (2).avi
noisy,,,0.1333333333333333,257.1428571428571,,,0.1333333333333333,257.1428571428571,HUST-LEBW\Video (20).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (21).avi
noisy,,,0.1333333333333333,26.086956521739133,,,0.1333333333333333,26.086956521739133,HUST-LEBW\Video (22).avi
noisy,,,0.2666666666666666,150.0,,,0.2666666666666666,150.0,HUST-LEBW\Video (23).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (24).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (25).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (26).avi
noisy,,,0.4333333333333333,257.1428571428571,,,0.4333333333333333,257.1428571428571,HUST-LEBW\Video (27).avi
noisy,,,0.0,0.0,,,0.0,0.0,HUST-LEBW\Video (28).avi
noisy,,,0.1,180.0,,,0.1,180.0,HUST-LEBW\Video (29).avi
noisy,0.0,1.2333333333333334,0.1,94.73684210526316,0.0,1.2333333333333334,0.1,94.73684210526316,HUST-LEBW\Video (3).avi
